Calories,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp
231,male,68,190.0,94.0,29.0,105.0,40.8
66,female,20,166.0,60.0,14.0,94.0,40.3
26,male,69,179.0,79.0,5.0,88.0,38.7
71,female,34,179.0,71.0,13.0,100.0,40.5
35,female,27,154.0,58.0,10.0,81.0,39.8
123,female,36,151.0,50.0,23.0,96.0,40.7
112,female,33,158.0,56.0,22.0,95.0,40.5
143,male,41,175.0,85.0,25.0,100.0,40.7
134,male,60,186.0,94.0,21.0,97.0,40.4
72,female,26,146.0,51.0,16.0,90.0,40.2
3,female,36,177.0,76.0,1.0,74.0,37.8
92,female,21,157.0,56.0,17.0,100.0,40.0
58,male,66,171.0,79.0,11.0,90.0,40.0
88,female,32,157.0,54.0,18.0,93.0,40.4
7,male,53,182.0,85.0,2.0,82.0,38.1
170,female,39,156.0,62.0,28.0,104.0,40.8
11,male,39,182.0,82.0,4.0,82.0,38.6
43,male,46,169.0,67.0,11.0,89.0,40.2
15,female,27,171.0,65.0,4.0,85.0,38.6
74,male,50,188.0,86.0,14.0,94.0,40.2
29,male,67,189.0,93.0,8.0,77.0,39.2
32,female,31,148.0,50.0,8.0,84.0,39.5
10,female,33,157.0,60.0,3.0,80.0,38.7
155,female,20,165.0,59.0,29.0,100.0,41.0
3,male,48,182.0,85.0,1.0,80.0,37.7
24,male,29,176.0,75.0,10.0,83.0,39.7
12,male,33,173.0,73.0,7.0,78.0,39.3
10,male,42,190.0,88.0,3.0,83.0,38.9
195,female,62,159.0,59.0,29.0,106.0,41.2
5,male,38,171.0,75.0,2.0,81.0,38.2
69,male,20,183.0,88.0,16.0,97.0,40.5
136,female,25,160.0,59.0,24.0,102.0,40.3
80,female,24,165.0,59.0,18.0,91.0,40.2
107,female,42,165.0,68.0,22.0,93.0,40.8
200,male,22,182.0,84.0,29.0,114.0,41.0
56,female,74,158.0,59.0,10.0,93.0,39.6
50,female,70,154.0,59.0,10.0,88.0,40.0
100,female,26,182.0,80.0,21.0,96.0,40.5
200,male,44,184.0,86.0,25.0,114.0,40.8
4,male,61,183.0,86.0,1.0,81.0,38.3
70,female,68,157.0,57.0,13.0,92.0,40.1
127,female,61,176.0,70.0,20.0,104.0,40.5
197,male,63,179.0,80.0,25.0,108.0,40.8
113,female,54,171.0,66.0,20.0,98.0,40.1
11,female,54,169.0,66.0,3.0,80.0,38.9
82,female,47,155.0,55.0,16.0,93.0,40.5
26,male,33,184.0,86.0,8.0,86.0,39.9
141,female,24,171.0,66.0,24.0,105.0,40.6
92,male,24,195.0,98.0,20.0,96.0,40.6
5,male,48,152.0,59.0,2.0,79.0,38.0
30,male,35,193.0,93.0,10.0,83.0,39.7
3,male,21,168.0,71.0,3.0,78.0,38.5
37,female,21,179.0,73.0,9.0,90.0,39.6
147,female,22,158.0,62.0,25.0,105.0,40.6
8,female,69,174.0,69.0,2.0,80.0,38.1
159,male,53,191.0,101.0,21.0,106.0,40.7
93,female,68,155.0,58.0,15.0,100.0,40.3
173,female,69,164.0,65.0,23.0,113.0,40.4
89,male,28,198.0,101.0,19.0,95.0,40.6
31,male,70,188.0,89.0,7.0,82.0,39.3
35,female,36,170.0,64.0,9.0,84.0,39.6
94,female,77,177.0,80.0,16.0,98.0,40.6
49,female,32,167.0,63.0,9.0,99.0,39.7
54,female,62,185.0,77.0,13.0,84.0,40.4
117,female,64,151.0,56.0,20.0,97.0,40.4
173,male,45,175.0,79.0,27.0,104.0,40.6
99,male,45,158.0,61.0,20.0,97.0,40.7
45,female,22,177.0,71.0,10.0,93.0,39.8
166,male,45,169.0,69.0,22.0,113.0,40.6
202,female,66,174.0,69.0,28.0,111.0,40.9
107,male,31,182.0,83.0,20.0,101.0,40.9
199,female,57,163.0,68.0,29.0,109.0,40.7
25,male,53,192.0,93.0,5.0,90.0,39.1
23,female,22,179.0,67.0,8.0,77.0,39.5
200,male,67,192.0,92.0,24.0,108.0,40.7
6,female,27,168.0,64.0,2.0,76.0,38.2
7,male,57,178.0,83.0,2.0,79.0,38.1
113,female,49,168.0,68.0,20.0,99.0,40.6
188,female,39,168.0,63.0,29.0,108.0,40.7
103,male,47,165.0,72.0,20.0,96.0,40.3
128,male,62,197.0,101.0,17.0,103.0,40.3
130,male,41,187.0,89.0,23.0,99.0,40.7
27,female,34,144.0,50.0,7.0,83.0,39.3
185,female,40,163.0,62.0,27.0,111.0,41.2
57,female,55,155.0,57.0,11.0,92.0,39.8
65,male,44,189.0,88.0,13.0,94.0,40.0
91,female,45,160.0,60.0,16.0,99.0,40.4
120,female,49,164.0,64.0,19.0,105.0,40.4
70,female,46,166.0,68.0,12.0,101.0,40.1
39,male,25,202.0,100.0,9.0,94.0,39.8
136,male,68,171.0,80.0,22.0,95.0,40.5
77,female,25,169.0,64.0,14.0,101.0,40.2
42,female,31,174.0,67.0,9.0,93.0,39.5
41,male,57,184.0,91.0,7.0,95.0,39.2
59,female,27,159.0,59.0,14.0,88.0,39.9
179,male,40,201.0,98.0,24.0,110.0,40.7
6,female,57,171.0,74.0,2.0,73.0,38.6
13,female,23,155.0,62.0,5.0,74.0,39.2
147,male,23,189.0,87.0,23.0,110.0,40.0
180,male,43,183.0,88.0,26.0,107.0,40.7
101,male,74,201.0,107.0,14.0,96.0,40.1
